date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:02:48	12414/12414	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-307e%22	https://armasm.com/docs/fpu/overview/	armasm.com/docs/fpu/overview/index.html	(from https://armasm.com/)
09:02:48	13108/13108	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-3334%22	https://armasm.com/docs/fpu/here-to-there/	armasm.com/docs/fpu/here-to-there/index.html	(from https://armasm.com/)
09:02:48	10432/10432	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-28c0%22	https://armasm.com/docs/working-in-linux/add-the-file/	armasm.com/docs/working-in-linux/add-the-file/index.html	(from https://armasm.com/)
09:02:49	15160/15160	---M--	200	added ('OK')	font/woff	etag:%2263596fe9-3b38%22	https://armasm.com/fonts/roboto-mono-v13-latin-regular.woff	armasm.com/fonts/roboto-mono-v13-latin-regular.woff	(from https://armasm.com/book.min.c58292d36b18b675680ab9baea2029204537b839ea72f258746ec0f32ce8d6c8.css)
09:02:50	16328/16328	---M--	200	added ('OK')	image/png	etag:%2263596fe9-3fc8%22	https://armasm.com/img/big-endian.png	armasm.com/img/big-endian.png	(from https://armasm.com/docs/registers-and-memory/memory-overview/)
09:02:50	15374/15374	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-3c0e%22	https://armasm.com/docs/neon/overview/	armasm.com/docs/neon/overview/index.html	(from https://armasm.com/)
09:02:50	12588/12588	---M-Z	200	added ('OK')	text/html	etag:W/%2263596fe9-312c%22	https://armasm.com/docs/neon/bus-rider/	armasm.com/docs/neon/bus-rider/index.html	(from https://armasm.com/)
09:02:51	16367/16367	---M--	200	added ('OK')	image/png	etag:%2263596fe9-3fef%22	https://armasm.com/img/little-endian.png	armasm.com/img/little-endian.png	(from https://armasm.com/docs/registers-and-memory/memory-overview/)
09:02:53	114990/114990	---M--	200	added ('OK')	image/png	etag:%2263596fe9-1c12e%22	https://armasm.com/img/stack-vis.png	armasm.com/img/stack-vis.png	(from https://armasm.com/docs/working-in-linux/add-the-arguments/)
09:02:53	22113/22113	---M-Z	200	added ('OK')	text/css	etag:W/%2263596fe9-5661%22	https://armasm.com/katex/katex.min.css	armasm.com/katex/katex.min.css	(from https://armasm.com/docs/fpu/here-to-there/)
